dataset,size,key,elapsed,delta
ZKW,4,dynamic_cost,3.528594970703125e-05,0.0
ZKC,4,branch_bound,0.00015473365783691406,0.0
ZKC,15,solve_ftapas_15,0.03431582450866699,0.0
ZKW,4,dynamic_weight,0.031182527542114258,0.0
ZKC,15,solve_ftapas_70,0.007508039474487305,13.0
ZKC,22,solve_ftapas_70,0.021733522415161133,52.0
ZKW,4,dynamic_cost,4.482269287109375e-05,0.0
NK,10,solve_ftapas_30,0.004205942153930664,0.0
NK,25,branch_bound,4.318968296051025,0.0
NK,20,greedy_redux,6.008148193359375e-05,0.0
ZKW,15,greedy_simple,7.295608520507812e-05,1265.0
ZKW,4,greedy_simple,2.6702880859375e-05,805.0
ZKC,22,greedy_simple,5.221366882324219e-05,1087.0
ZKC,15,solve_ftapas_50,0.009565591812133789,22.0
NK,25,solve_ftapas_70,0.0260162353515625,0.0
NK,15,solve_ftapas_50,0.009131431579589844,0.0
NK,22,branch_bound,0.002227306365966797,0.0
ZKW,10,solve_ftapas_70,0.0010902881622314453,581.0
ZKC,15,dynamic_weight,0.43143749237060547,0.0
ZKC,25,solve_ftapas_50,0.046956777572631836,25.0
NK,15,solve_ftapas_30,0.017116308212280273,0.0
ZKC,10,greedy_simple,6.890296936035156e-05,1014.0
NK,22,greedy_redux,5.1975250244140625e-05,29.0
NK,4,solve_ftapas_50,0.00032782554626464844,0.0
ZKC,20,greedy_simple,6.127357482910156e-05,855.0
ZKC,25,solve_ftapas_30,0.08086729049682617,4.0
NK,25,dynamic_cost,0.03438878059387207,0.0
ZKC,22,greedy_simple,4.553794860839844e-05,1582.0
NK,22,solve_ftapas_70,0.019719362258911133,0.0
ZKC,22,solve_ftapas_70,0.018906116485595703,25.0
NK,22,dynamic_cost,0.12741899490356445,0.0
ZKC,4,solve_ftapas_15,0.0003750324249267578,39.0
ZKW,4,solve_ftapas_70,0.00031065940856933594,0.0
ZKW,4,greedy_redux,0.0001125335693359375,0.0
ZKC,25,solve_ftapas_30,0.027708768844604492,0.0
NK,27,branch_bound,0.2411179542541504,0.0
NK,27,solve_ftapas_50,0.06106162071228027,0.0
NK,27,dynamic_weight,0.9137606620788574,0.0
ZKC,22,dynamic_cost,0.03819894790649414,0.0
ZKW,4,branch_bound,0.0002503395080566406,0.0
ZKW,25,solve_ftapas_70,0.003945589065551758,0.0
NK,22,solve_ftapas_15,0.08867311477661133,0.0
ZKW,4,solve_ftapas_30,0.00038361549377441406,0.0
NK,20,solve_ftapas_30,0.03360176086425781,0.0
NK,4,dynamic_weight,0.02762126922607422,0.0
ZKC,27,solve_ftapas_50,0.05675196647644043,38.0
ZKW,15,solve_ftapas_70,0.0013778209686279297,0.0
ZKC,25,dynamic_weight,1.8903698921203613,0.0
ZKC,22,greedy_redux,6.175041198730469e-05,339.0
ZKC,4,dynamic_weight,0.023360729217529297,0.0
