batch_size,mutation_rate,problem_path,init_type,fitness_type,solved_time
5,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0433.mwcnf,uniform,sum_or_nothing,
10,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0655.mwcnf,uniform,correct_count,
80,0.08,data/wuf-N1/wuf50-201-N1/wuf50-028.mwcnf,uniform,sum_or_nothing,
80,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0722.mwcnf,uniform,sum_or_nothing,
160,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0368.mwcnf,uniform,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0744.mwcnf,allfalse,correct_count,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0913.mwcnf,allfalse,sum_or_nothing,
160,0.01,data/wuf-N1/wuf50-201-N1/wuf50-045.mwcnf,allfalse,correct_count,
20,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0328.mwcnf,uniform,correct_count,
40,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0111.mwcnf,uniform,correct_count,
80,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0962.mwcnf,uniform,sum_or_nothing,
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0913.mwcnf,allfalse,correct_count,
80,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0337.mwcnf,allfalse,sum_or_nothing,
10,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0543.mwcnf,allfalse,correct_count,0.3030869960784912
1280,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0149.mwcnf,uniform,correct_count,
1280,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0950.mwcnf,uniform,correct_count,
160,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0950.mwcnf,uniform,correct_count,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0199.mwcnf,allfalse,correct_count,
20,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0634.mwcnf,allfalse,sum_or_nothing,
20,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0165.mwcnf,allfalse,correct_count,
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0873.mwcnf,uniform,correct_count,
640,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0950.mwcnf,allfalse,sum_or_nothing,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0699.mwcnf,uniform,sum_or_nothing,
640,0.02,data/wuf-N1/wuf50-201-N1/wuf50-045.mwcnf,allfalse,sum_or_nothing,
40,0.32,data/wuf-N1/wuf50-201-N1/wuf50-04.mwcnf,allfalse,sum_or_nothing,
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0820.mwcnf,allfalse,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0509.mwcnf,uniform,sum_or_nothing,
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0655.mwcnf,uniform,sum_or_nothing,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0741.mwcnf,uniform,correct_count,
640,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0523.mwcnf,uniform,sum_or_nothing,
320,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0111.mwcnf,uniform,correct_count,
640,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0172.mwcnf,allfalse,correct_count,
10,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0293.mwcnf,allfalse,correct_count,
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0248.mwcnf,uniform,correct_count,
5,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0543.mwcnf,uniform,correct_count,0.2909688949584961
5,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,uniform,sum_or_nothing,
10,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0328.mwcnf,allfalse,sum_or_nothing,
20,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0281.mwcnf,uniform,correct_count,1.0433053970336914
40,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0248.mwcnf,uniform,correct_count,
80,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0977.mwcnf,allfalse,sum_or_nothing,
5,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0371.mwcnf,allfalse,correct_count,
320,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0551.mwcnf,uniform,sum_or_nothing,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0152.mwcnf,uniform,sum_or_nothing,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0683.mwcnf,allfalse,sum_or_nothing,
640,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0683.mwcnf,uniform,correct_count,
40,0.32,data/wuf-N1/wuf50-201-N1/wuf50-05.mwcnf,uniform,sum_or_nothing,
5,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0744.mwcnf,uniform,correct_count,
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0466.mwcnf,uniform,correct_count,
20,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0483.mwcnf,allfalse,correct_count,
1280,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0331.mwcnf,uniform,sum_or_nothing,
40,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0165.mwcnf,uniform,sum_or_nothing,
10,0.32,data/wuf-N1/wuf50-201-N1/wuf50-05.mwcnf,uniform,sum_or_nothing,
40,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0838.mwcnf,uniform,sum_or_nothing,
80,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0378.mwcnf,allfalse,correct_count,
1280,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0408.mwcnf,allfalse,correct_count,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0337.mwcnf,uniform,sum_or_nothing,
320,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0194.mwcnf,uniform,correct_count,
10,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0575.mwcnf,uniform,sum_or_nothing,
1280,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0840.mwcnf,allfalse,correct_count,
1280,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0737.mwcnf,uniform,correct_count,
160,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0276.mwcnf,uniform,sum_or_nothing,
1280,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0757.mwcnf,uniform,sum_or_nothing,
10,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0551.mwcnf,allfalse,sum_or_nothing,
20,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0368.mwcnf,allfalse,sum_or_nothing,
40,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0809.mwcnf,uniform,sum_or_nothing,
1280,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0165.mwcnf,uniform,sum_or_nothing,
5,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0376.mwcnf,uniform,sum_or_nothing,
640,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0901.mwcnf,allfalse,correct_count,
640,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0371.mwcnf,uniform,correct_count,
640,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0860.mwcnf,uniform,correct_count,
40,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0737.mwcnf,uniform,correct_count,
5,0.16,data/wuf-N1/wuf50-201-N1/wuf50-024.mwcnf,uniform,sum_or_nothing,
5,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0817.mwcnf,allfalse,correct_count,
80,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0368.mwcnf,allfalse,correct_count,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0119.mwcnf,uniform,correct_count,
320,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0737.mwcnf,uniform,sum_or_nothing,
320,0.08,data/wuf-N1/wuf50-201-N1/wuf50-08.mwcnf,allfalse,sum_or_nothing,
80,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0564.mwcnf,uniform,correct_count,
1280,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0722.mwcnf,allfalse,correct_count,
10,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0950.mwcnf,allfalse,sum_or_nothing,
10,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0722.mwcnf,allfalse,correct_count,
160,0.04,data/wuf-N1/wuf50-201-N1/wuf50-047.mwcnf,allfalse,sum_or_nothing,
20,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0833.mwcnf,allfalse,sum_or_nothing,
40,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0968.mwcnf,uniform,correct_count,
5,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0968.mwcnf,uniform,correct_count,
320,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0575.mwcnf,uniform,correct_count,
10,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0143.mwcnf,allfalse,sum_or_nothing,
5,0.32,data/wuf-N1/wuf50-201-N1/wuf50-04.mwcnf,allfalse,sum_or_nothing,
80,0.16,data/wuf-N1/wuf50-201-N1/wuf50-0803.mwcnf,uniform,sum_or_nothing,
20,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0767.mwcnf,allfalse,sum_or_nothing,
40,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0152.mwcnf,allfalse,sum_or_nothing,
640,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0655.mwcnf,allfalse,correct_count,
1280,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0248.mwcnf,uniform,correct_count,
160,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0194.mwcnf,uniform,correct_count,
20,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0968.mwcnf,uniform,correct_count,
80,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0806.mwcnf,allfalse,sum_or_nothing,
640,0.32,data/wuf-N1/wuf50-201-N1/wuf50-0741.mwcnf,uniform,correct_count,
80,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0701.mwcnf,uniform,correct_count,
640,0.08,data/wuf-N1/wuf50-201-N1/wuf50-0296.mwcnf,allfalse,correct_count,
160,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0165.mwcnf,allfalse,sum_or_nothing,
640,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0767.mwcnf,uniform,sum_or_nothing,
640,0.04,data/wuf-N1/wuf50-201-N1/wuf50-0328.mwcnf,uniform,correct_count,
80,0.01,data/wuf-N1/wuf50-201-N1/wuf50-0809.mwcnf,uniform,sum_or_nothing,
1280,0.0,data/wuf-N1/wuf50-201-N1/wuf50-024.mwcnf,uniform,correct_count,
10,0.0,data/wuf-N1/wuf50-201-N1/wuf50-0956.mwcnf,uniform,sum_or_nothing,
40,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0368.mwcnf,allfalse,sum_or_nothing,
5,0.02,data/wuf-N1/wuf50-201-N1/wuf50-0111.mwcnf,allfalse,sum_or_nothing,
