dataset,size,key,elapsed,delta
ZKC,20,solve_ftapas_30,0.03186964988708496,92.0
ZKW,10,dynamic_cost,8.106231689453125e-05,168.0
ZKC,20,solve_ftapas_30,0.035201311111450195,2078.0
ZKC,4,solve_ftapas_30,0.0004107952117919922,0.0
ZKC,20,solve_ftapas_70,0.01629161834716797,4715.0
ZKC,15,solve_ftapas_50,0.009057998657226562,3679.0
NK,20,solve_ftapas_15,0.0650644302368164,0.0
NK,15,solve_ftapas_30,0.01278996467590332,0.0
NK,4,solve_ftapas_30,0.0004107952117919922,0.0
NK,27,greedy_redux,6.794929504394531e-05,1.0
ZKW,15,dynamic_cost,0.0003993511199951172,0.0
ZKC,4,solve_ftapas_30,0.0004801750183105469,0.0
NK,10,solve_ftapas_50,0.0024313926696777344,0.0
ZKC,15,solve_ftapas_50,0.008121013641357422,3840.0
NK,10,dynamic_cost,0.00203704833984375,0.0
ZKW,15,dynamic_cost,7.390975952148438e-05,0.0
ZKW,4,solve_ftapas_15,0.0005710124969482422,0.0
ZKC,4,dynamic_weight,0.018795251846313477,0.0
ZKC,20,solve_ftapas_70,0.01705479621887207,2582.0
NK,10,solve_ftapas_70,0.0019986629486083984,0.0
ZKC,10,solve_ftapas_70,0.0024700164794921875,513.0
NK,10,greedy_simple,2.765655517578125e-05,287.0
ZKC,15,solve_ftapas_30,0.013736248016357422,433.0
ZKC,25,dynamic_cost,0.056359291076660156,2017.0
ZKW,4,greedy_simple,1.9550323486328125e-05,169.0
ZKC,25,dynamic_cost,0.0569150447845459,770.0
ZKC,25,solve_ftapas_30,0.07793807983398438,1499.0
NK,10,solve_ftapas_70,0.001971006393432617,0.0
NK,20,solve_ftapas_30,0.03138375282287598,0.0
ZKW,4,dynamic_weight,0.048126220703125,0.0
ZKC,25,greedy_simple,6.0558319091796875e-05,1428.0
NK,4,solve_ftapas_50,0.0005214214324951172,0.0
ZKC,22,dynamic_weight,1.3595073223114014,1443.0
ZKC,10,solve_ftapas_30,0.004590749740600586,0.0
ZKW,4,solve_ftapas_70,0.00024628639221191406,3535.0
ZKC,10,greedy_simple,2.9325485229492188e-05,1324.0
