target,best_score,batch_size,mutation_rate
44321,39846,20,0.16
48073,44231,20,0.16
35770,31802,20,0.16
49784,48972,20,0.16
50428,46148,20,0.16
45176,41598,20,0.16
47153,47153,20,0.16
39180,35971,20,0.16
41567,37779,20,0.16
33621,29566,20,0.16
13813,13557,20,0.16
43182,37839,20,0.16
45967,43944,20,0.16
43222,38926,20,0.16
46847,42443,20,0.16
25679,24789,20,0.16
59121,55952,20,0.16
43413,40290,20,0.16
37444,33563,20,0.16
47488,44217,20,0.16
50757,47266,20,0.16
40704,36446,20,0.16
18186,16901,20,0.16
41596,37770,20,0.16
45571,39571,20,0.16
55841,54441,20,0.16
31840,28449,20,0.16
43131,37578,20,0.16
38758,36195,20,0.16
50742,49056,20,0.16
43208,40761,20,0.16
45119,42722,20,0.16
53207,52788,20,0.16
39321,36128,20,0.16
46883,46883,20,0.16
33666,30185,20,0.16
43343,40132,20,0.16
50603,48091,20,0.16
18007,17826,20,0.16
52258,49677,20,0.16
27772,26528,20,0.16
55122,52319,20,0.16
51393,49859,20,0.16
19901,19613,20,0.16
56332,53958,20,0.16
53330,49710,20,0.16
15470,15102,20,0.16
25628,25185,20,0.16
34572,32284,20,0.16
38667,35002,20,0.32
44321,39939,20,0.32
48073,44600,20,0.32
49784,48470,20,0.32
35770,31771,20,0.32
50428,45627,20,0.32
47153,47118,20,0.32
45176,39331,20,0.32
39180,35450,20,0.32
13813,7344,20,0.32
41567,39221,20,0.32
33621,30474,20,0.32
45967,40716,20,0.32
43182,39174,20,0.32
43222,37898,20,0.32
46847,41461,20,0.32
25679,24129,20,0.32
59121,53323,20,0.32
43413,40326,20,0.32
37444,32638,20,0.32
50757,47137,20,0.32
47488,44737,20,0.32
40704,35009,20,0.32
18186,11245,20,0.32
45571,37823,20,0.32
41596,36069,20,0.32
55841,51937,20,0.32
31840,27391,20,0.32
43131,37934,20,0.32
38758,34953,20,0.32
43208,38910,20,0.32
50742,48432,20,0.32
45119,42289,20,0.32
39321,33859,20,0.32
53207,49539,20,0.32
46883,46883,20,0.32
33666,29424,20,0.32
50603,47940,20,0.32
43343,38127,20,0.32
18007,10073,20,0.32
27772,25643,20,0.32
52258,48662,20,0.32
55122,51870,20,0.32
56332,54280,20,0.32
51393,50072,20,0.32
19901,9244,20,0.32
53330,51028,20,0.32
25628,21889,20,0.32
34572,31817,20,0.32
15470,12658,20,0.32
44321,41704,40,0.0
38667,36735,40,0.0
48073,47255,40,0.0
49784,49407,40,0.0
35770,34325,40,0.0
45176,42306,40,0.0
50428,49971,40,0.0
39180,36217,40,0.0
47153,47105,40,0.0
41567,40259,40,0.0
13813,12344,40,0.0
33621,31423,40,0.0
43182,39195,40,0.0
45967,44472,40,0.0
43222,42477,40,0.0
59121,57969,40,0.0
46847,45276,40,0.0
25679,25466,40,0.0
43413,43224,40,0.0
37444,35130,40,0.0
47488,46791,40,0.0
50757,48651,40,0.0
40704,39253,40,0.0
45571,43408,40,0.0
18186,13948,40,0.0
41596,41021,40,0.0
55841,55823,40,0.0
31840,30976,40,0.0
43131,40658,40,0.0
38758,36185,40,0.0
43208,42421,40,0.0
50742,50456,40,0.0
45119,43498,40,0.0
53207,52453,40,0.0
39321,37093,40,0.0
46883,46883,40,0.0
33666,33066,40,0.0
50603,49794,40,0.0
43343,41507,40,0.0
18007,13957,40,0.0
52258,51992,40,0.0
27772,24012,40,0.0
51393,50441,40,0.0
55122,54389,40,0.0
56332,55881,40,0.0
19901,17395,40,0.0
53330,52174,40,0.0
15470,12485,40,0.0
34572,31347,40,0.0
