dataset,size,key,elapsed,delta,target_cost
NK,10,dynamic_weight,0.25713586807250977,0.0,14158
NK,27,dynamic_cost,0.039922475814819336,0.0,23687
NK,25,solve_ftapas_70,0.02182769775390625,0.0,19666
ZKC,27,greedy_redux,7.510185241699219e-05,354.0,22805
ZKC,25,greedy_simple,5.245208740234375e-05,114.0,21540
ZKC,10,branch_bound,0.002025127410888672,0.0,9573
NK,10,solve_ftapas_15,0.0074274539947509766,0.0,13295
NK,20,dynamic_cost,0.026346921920776367,0.0,24072
NK,27,solve_ftapas_50,0.0316922664642334,0.0,27109
NK,10,dynamic_weight,0.10592055320739746,0.0,9681
NK,10,greedy_redux,2.3603439331054688e-05,0.0,8678
ZKC,15,solve_ftapas_70,0.006321907043457031,44.0,11525
ZKW,10,solve_ftapas_50,0.0012831687927246094,0.0,10439
ZKW,15,solve_ftapas_70,0.0023555755615234375,0.0,4859
ZKW,4,dynamic_cost,3.910064697265625e-05,0.0,5713
ZKC,10,dynamic_weight,0.15513944625854492,0.0,7423
NK,15,greedy_simple,3.4332275390625e-05,0.0,9330
ZKC,20,greedy_redux,5.9604644775390625e-05,235.0,17634
ZKC,22,dynamic_cost,0.02448725700378418,0.0,18559
NK,20,greedy_redux,5.626678466796875e-05,53.0,20138
NK,22,branch_bound,0.018056154251098633,0.0,9577
NK,27,dynamic_cost,0.1472787857055664,0.0,23862
NK,22,solve_ftapas_50,0.022677898406982422,0.0,18974
NK,22,greedy_redux,6.389617919921875e-05,64.0,17445
NK,22,solve_ftapas_70,0.022749900817871094,0.0,26578
ZKC,25,solve_ftapas_50,0.04186272621154785,30.0,22477
ZKW,10,greedy_redux,5.221366882324219e-05,0.0,7528
ZKW,15,solve_ftapas_70,0.006686687469482422,0.0,2984
ZKC,20,dynamic_cost,0.13087725639343262,0.0,15729
NK,4,branch_bound,0.00018310546875,0.0,3557
NK,4,solve_ftapas_15,0.0005311965942382812,0.0,4391
NK,10,solve_ftapas_50,0.002942323684692383,0.0,12608
NK,20,solve_ftapas_70,0.02030801773071289,0.0,25238
NK,10,dynamic_weight,0.30135107040405273,0.0,16793
ZKW,10,solve_ftapas_70,0.00096893310546875,0.0,11897
ZKC,4,greedy_redux,3.075599670410156e-05,0.0,3986
ZKC,15,solve_ftapas_70,0.0066754817962646484,136.0,12099
NK,4,solve_ftapas_50,0.0003399848937988281,0.0,2637
ZKC,15,greedy_simple,3.719329833984375e-05,172.0,11934
ZKW,4,branch_bound,0.0001475811004638672,0.0,750
NK,27,solve_ftapas_70,0.038782596588134766,0.0,13575
NK,20,greedy_redux,7.200241088867188e-05,0.0,16493
NK,27,solve_ftapas_70,0.03535175323486328,0.0,18517
NK,27,solve_ftapas_50,0.04774880409240723,0.0,29999
NK,15,solve_ftapas_70,0.007339954376220703,0.0,11239
NK,27,branch_bound,1.545954942703247,0.0,27514
NK,10,greedy_redux,3.981590270996094e-05,0.0,13761
NK,22,greedy_simple,4.076957702636719e-05,0.0,25582
ZKC,20,solve_ftapas_30,0.018956422805786133,0.0,16196
NK,20,branch_bound,0.004775285720825195,0.0,27779
NK,15,branch_bound,0.0012240409851074219,0.0,16460
NK,25,greedy_simple,7.963180541992188e-05,0.0,17536
ZKW,4,branch_bound,0.0001621246337890625,0.0,2679
ZKC,22,greedy_redux,6.628036499023438e-05,335.0,18117
NK,10,solve_ftapas_15,0.011166572570800781,0.0,8132
NK,22,solve_ftapas_50,0.01766347885131836,0.0,19132
ZKC,15,branch_bound,0.11296796798706055,0.0,15375
NK,4,solve_ftapas_30,0.00046706199645996094,0.0,2300
NK,22,branch_bound,0.0007872581481933594,0.0,26806
ZKC,4,greedy_redux,3.886222839355469e-05,131.0,4091
NK,27,solve_ftapas_30,0.07405972480773926,10.0,32851
NK,25,solve_ftapas_50,0.032533884048461914,0.0,20010
NK,15,dynamic_cost,0.0025281906127929688,0.0,11394
ZKC,10,solve_ftapas_70,0.0018448829650878906,117.0,9051
NK,22,dynamic_cost,0.04273509979248047,0.0,24804
ZKC,25,solve_ftapas_15,0.12096714973449707,0.0,18754
NK,4,greedy_simple,5.9604644775390625e-05,0.0,4668
ZKC,10,greedy_simple,6.437301635742188e-05,910.0,8688
ZKC,10,solve_ftapas_15,0.008447885513305664,0.0,9318
ZKC,22,dynamic_weight,1.0901846885681152,0.0,20630
NK,10,dynamic_weight,0.19556236267089844,0.0,7575
NK,10,branch_bound,0.000518798828125,0.0,11689
ZKC,27,greedy_redux,0.00010585784912109375,168.0,23551
ZKC,20,dynamic_cost,0.033553123474121094,0.0,17848
ZKC,15,greedy_redux,6.461143493652344e-05,1156.0,11313
ZKC,20,dynamic_weight,0.606865406036377,0.0,17120
ZKW,4,solve_ftapas_15,0.0003838539123535156,0.0,11753
ZKW,4,solve_ftapas_15,0.00039386749267578125,0.0,3904
ZKC,27,solve_ftapas_70,0.038875579833984375,14.0,22417
ZKC,22,branch_bound,3.543672800064087,0.0,18580
ZKC,20,greedy_simple,5.888938903808594e-05,1170.0,19360
ZKC,15,greedy_redux,5.555152893066406e-05,1439.0,14145
NK,4,solve_ftapas_30,0.00041794776916503906,0.0,3410
ZKC,27,solve_ftapas_15,0.1790771484375,14.0,25064
NK,22,branch_bound,0.0910487174987793,0.0,11631
NK,20,solve_ftapas_15,0.06762456893920898,0.0,26737
ZKC,25,greedy_simple,5.888938903808594e-05,713.0,20364
NK,27,solve_ftapas_15,0.1680738925933838,0.0,33484
ZKW,15,dynamic_weight,0.6387050151824951,0.0,6764
NK,25,dynamic_weight,1.3236017227172852,0.0,20203
ZKC,22,solve_ftapas_50,0.03330039978027344,67.0,20958
NK,4,greedy_simple,2.2649765014648438e-05,0.0,4059
ZKC,10,greedy_simple,4.363059997558594e-05,1863.0,8458
ZKC,27,greedy_redux,6.699562072753906e-05,157.0,26126
ZKC,25,dynamic_cost,0.11327672004699707,0.0,20957
ZKW,4,solve_ftapas_50,0.0002570152282714844,0.0,10120
ZKC,10,solve_ftapas_50,0.0024590492248535156,0.0,7934
NK,10,solve_ftapas_50,0.0026543140411376953,0.0,10139
NK,25,dynamic_cost,0.1463017463684082,0.0,35082
NK,22,greedy_redux,7.009506225585938e-05,0.0,14110
