iid,dataset,size,key,elapsed,result,target
46,ZKC,10,solve_ftapas_15,0.009238004684448242,8467,8476
312,ZKC,4,solve_ftapas_15,0.0007050037384033203,4374,4374
381,NK,10,solve_ftapas_15,0.006431102752685547,10005,10005
435,ZKC,4,solve_ftapas_15,0.0006210803985595703,3682,3695
365,NK,10,solve_ftapas_15,0.008323907852172852,2827,2827
19,ZKC,15,solve_ftapas_15,0.030952930450439453,12897,12897
195,ZKC,20,solve_ftapas_15,0.07967996597290039,17592,17592
54,ZKW,4,solve_ftapas_15,0.00043392181396484375,1681,1681
280,ZKC,10,solve_ftapas_15,0.008204936981201172,8025,8046
252,ZKC,10,solve_ftapas_15,0.007164955139160156,7822,7829
442,NK,25,solve_ftapas_15,0.140916109085083,27281,27281
474,NK,27,solve_ftapas_15,0.17487478256225586,28479,28479
749,ZKW,10,solve_ftapas_15,0.005555152893066406,4153,4153
473,NK,22,solve_ftapas_15,0.0956878662109375,21472,21472
1568,ZKW,4,solve_ftapas_15,0.0005559921264648438,2626,2626
23,NK,27,solve_ftapas_15,0.2003469467163086,12457,12457
53,NK,4,solve_ftapas_15,0.0007450580596923828,4212,4212
203,NK,20,solve_ftapas_15,0.09076499938964844,10510,10510
336,NK,10,solve_ftapas_15,0.009019136428833008,7985,7985
373,ZKC,27,solve_ftapas_15,0.20205116271972656,24703,24703
287,ZKC,27,solve_ftapas_15,0.17983698844909668,21572,21572
226,ZKC,10,solve_ftapas_15,0.010172128677368164,9937,9937
1870,ZKW,4,solve_ftapas_15,0.0004410743713378906,5002,5002
250,NK,15,solve_ftapas_15,0.033113956451416016,19272,19272
424,ZKC,20,solve_ftapas_15,0.06745386123657227,15423,15423
54,ZKC,10,solve_ftapas_15,0.009194135665893555,9217,9217
310,ZKC,22,solve_ftapas_15,0.11256790161132812,19787,19787
317,NK,4,solve_ftapas_15,0.0006189346313476562,4756,4756
184,NK,20,solve_ftapas_15,0.0718679428100586,22078,22078
1482,ZKW,4,solve_ftapas_15,0.0009670257568359375,2779,2779
989,ZKW,15,solve_ftapas_15,0.015265703201293945,7181,7181
305,ZKC,22,solve_ftapas_15,0.10074377059936523,17946,17946
