opcount,elapsed,optimizations,size,itype
511,0.0023154180000801716,set(),20,ZR
16,0.00021143300000403542,"{'residuals', 'weight'}",10,ZR
9,7.420699989779678e-05,"{'residuals', 'weight'}",4,NR
19,0.00016842099989844428,"{'residuals', 'weight'}",4,NR
2412,0.008312742000043727,set(),15,ZR
1,1.1639000149443746e-05,"{'residuals', 'weight'}",4,NR
144411,1.0059134020000329,"{'residuals', 'weight'}",22,ZR
1,2.1834000108356122e-05,"{'residuals', 'weight'}",4,NR
179,0.001263117999997121,"{'residuals', 'weight'}",10,ZR
744091,5.461508871999968,"{'residuals', 'weight'}",22,ZR
14,0.00021301799984030367,set(),20,ZR
31,0.0003431019999879936,set(),4,NR
65535,0.2981300819999433,set(),15,ZR
8,5.69210001231113e-05,"{'residuals', 'weight'}",10,NR
65535,0.32050116499999604,set(),15,NR
1094,0.005103032000079111,set(),10,NR
15,0.0001701120002053358,set(),22,NR
16,0.00027204399998481676,"{'residuals', 'weight'}",15,ZR
2097151,10.70734875800008,set(),20,ZR
65535,0.3498439759998746,set(),15,ZR
52,0.0004532169998583413,"{'residuals', 'weight'}",10,ZR
2,2.261400004499592e-05,"{'residuals', 'weight'}",15,NR
67108863,354.24210444000005,set(),25,NR
88125,0.6324426989999665,"{'residuals', 'weight'}",20,ZR
19,0.0001958330001343711,"{'residuals', 'weight'}",22,ZR
4095,0.03567086400016706,"{'residuals', 'weight'}",25,NR
2097151,9.786299676999988,set(),20,NR
2,2.6709000167102204e-05,"{'residuals', 'weight'}",4,NR
3835,0.02675076699983947,"{'residuals', 'weight'}",15,ZR
67108863,344.83554765299994,set(),25,ZR
13,0.0001597739999397163,set(),22,NR
162,0.001570672000070772,"{'residuals', 'weight'}",15,ZR
65535,0.3831914230001985,set(),15,NR
67108863,336.4577053579999,set(),25,ZR
13,0.0001763709999522689,set(),20,NR
263,0.0030344550000336312,"{'residuals', 'weight'}",15,NR
6663,0.054846023999971294,"{'residuals', 'weight'}",15,ZR
14,0.00016323700015163922,"{'residuals', 'weight'}",20,ZR
25,0.00018425799999022274,"{'residuals', 'weight'}",4,ZR
2,1.921500006574206e-05,"{'residuals', 'weight'}",4,NR
172,0.0008337749998190702,"{'residuals', 'weight'}",15,ZR
20,8.61989999521029e-05,set(),4,ZR
463,0.0022838499999124906,"{'residuals', 'weight'}",10,ZR
8388607,38.894203584000024,set(),22,NR
1,3.169599995089811e-05,"{'residuals', 'weight'}",20,NR
480,0.004011849000107759,"{'residuals', 'weight'}",22,NR
1,2.7068000008512172e-05,"{'residuals', 'weight'}",10,NR
188034,1.5273073539999587,"{'residuals', 'weight'}",22,ZR
2317,0.021952230000124473,set(),20,NR
3346,0.04788596500020503,"{'residuals', 'weight'}",25,ZR
65535,0.5447749979998662,set(),15,NR
2,3.0362999950739322e-05,set(),4,NR
14563,0.09196965899991483,set(),25,ZR
46816,0.3343289609999829,"{'residuals', 'weight'}",25,ZR
1489,0.01106105100006971,"{'residuals', 'weight'}",20,NR
647431,6.609408796000025,"{'residuals', 'weight'}",22,ZR
1,2.8731999918818474e-05,"{'residuals', 'weight'}",15,NR
7,0.00014497699999083125,"{'residuals', 'weight'}",15,NR
5015,0.03993637299981856,"{'residuals', 'weight'}",15,ZR
15,0.0001936349999596132,"{'residuals', 'weight'}",4,NR
1,2.9320000066945795e-05,"{'residuals', 'weight'}",15,NR
67108863,326.0783829310001,set(),25,NR
41,0.00025207900011992024,"{'residuals', 'weight'}",10,ZR
16417,0.07495294699992883,set(),15,ZR
8388607,37.94621745600011,set(),22,NR
9,7.366699992417125e-05,"{'residuals', 'weight'}",4,ZR
67108863,319.257518893,set(),25,NR
67108863,320.5609047329999,set(),25,ZR
26,9.773300007509533e-05,set(),4,NR
10183,0.046845516000075804,set(),15,NR
847,0.002934771000127512,set(),20,ZR
211,0.0012158570000337932,"{'residuals', 'weight'}",15,NR
7,0.00010514999985389295,"{'residuals', 'weight'}",4,NR
236393,2.601384595999889,"{'residuals', 'weight'}",20,ZR
1,2.9883000024710782e-05,"{'residuals', 'weight'}",25,NR
2,2.8297999961068854e-05,set(),4,NR
2097151,10.076370795000003,set(),20,ZR
65535,0.30407037999998465,set(),15,NR
724,0.0036863840000478376,"{'residuals', 'weight'}",15,ZR
65535,0.30342567699995016,set(),15,NR
172,0.0008512189999692055,set(),10,ZR
1184,0.005685784999968746,set(),15,ZR
143,0.0007343980000769079,"{'residuals', 'weight'}",22,ZR
655,0.003984952000109843,"{'residuals', 'weight'}",10,ZR
1,2.5014999891936895e-05,"{'residuals', 'weight'}",10,NR
5,6.784600009268615e-05,set(),20,NR
67108863,319.2155198560001,set(),25,ZR
1064,0.003997642000058477,set(),15,ZR
65535,0.2787270220001119,set(),15,NR
15,0.00018295300014870008,"{'residuals', 'weight'}",4,ZR
2711,0.01591499500000282,"{'residuals', 'weight'}",22,NR
1,2.6713999886851525e-05,"{'residuals', 'weight'}",25,NR
8388607,41.402186610999934,set(),22,ZR
5041,0.035583129000087865,"{'residuals', 'weight'}",20,ZR
72,0.0008681419999447826,"{'residuals', 'weight'}",25,ZR
7,0.00013680500001100881,"{'residuals', 'weight'}",15,NR
15,0.0001309009999204136,set(),4,ZR
2047,0.011486580000109825,set(),10,NR
8388607,39.52195510499996,set(),22,ZR
31,0.0002410940001027484,set(),4,NR
2675,0.013662720999946032,set(),15,ZR
4262,0.030690113999980895,"{'residuals', 'weight'}",20,ZR
3,4.591299989442632e-05,"{'residuals', 'weight'}",4,ZR
262153,1.301391588000115,set(),25,NR
262027,1.138566587000014,set(),25,NR
3,6.413599999177677e-05,"{'residuals', 'weight'}",10,NR
2,2.65579999449983e-05,set(),25,NR
2097151,9.503994433999878,set(),20,ZR
13,0.00016971399986687175,"{'residuals', 'weight'}",4,ZR
8,8.593400002609997e-05,set(),4,NR
4272,0.027588390000119034,set(),15,ZR
19,0.0001727700000628829,set(),4,ZR
2097151,9.834647017999941,set(),20,ZR
8388607,39.619911898000055,set(),22,NR
1,2.2197999896889087e-05,"{'residuals', 'weight'}",15,NR
124,0.0011287529998753598,"{'residuals', 'weight'}",25,ZR
2097151,11.017175460999852,set(),20,ZR
3,6.424299999707728e-05,set(),4,ZR
23,0.0006358489999911399,"{'residuals', 'weight'}",15,NR
20,0.0005470070000228588,"{'residuals', 'weight'}",25,NR
2047,0.012521384000137914,set(),10,ZR
4,6.645500002377958e-05,set(),15,NR
10,0.00013463999994201004,set(),25,NR
4,5.542600001717801e-05,set(),15,NR
8,9.589199999027187e-05,"{'residuals', 'weight'}",4,NR
31,0.0002568160000464559,set(),4,ZR
431,0.004381894000061948,"{'residuals', 'weight'}",10,ZR
1,2.714099991862895e-05,"{'residuals', 'weight'}",20,NR
31,0.00020019099997625744,set(),4,NR
5,4.0832999957274296e-05,set(),10,NR
84461,0.5851870579999741,"{'residuals', 'weight'}",20,ZR
3,6.202200006555358e-05,"{'residuals', 'weight'}",4,ZR
67108863,325.87992964599994,set(),25,NR
65535,0.2906662719999531,set(),15,NR
4,3.942300008930033e-05,set(),10,NR
41,0.00024871599998732563,"{'residuals', 'weight'}",15,ZR
2097151,9.20197533999999,set(),20,NR
11,5.70320000861102e-05,set(),4,NR
9,6.382099991242285e-05,"{'residuals', 'weight'}",4,ZR
65535,0.2790376279999691,set(),15,NR
3932163,18.88772847500013,set(),22,NR
185,0.0009756020001532306,"{'residuals', 'weight'}",20,NR
7555935,52.659377378000045,"{'residuals', 'weight'}",25,ZR
2097151,9.680651356999988,set(),20,ZR
2097151,9.453556018999961,set(),20,NR
