opcount,elapsed,optimizations,size,itype
17177,0.15588935899995704,"{'weight', 'residuals'}",15,ZR
173927,1.7585954689999426,"{'weight', 'residuals'}",25,NR
1445101,13.008870258999991,{'residuals'},22,ZR
65535,0.4432121930000221,set(),15,NR
15,0.00016674000005423295,"{'weight', 'residuals'}",4,ZR
6798,0.06474348799997642,{'residuals'},25,ZR
725,0.006385160999911932,"{'weight', 'residuals'}",10,ZR
23,0.00021981200006848667,{'residuals'},4,NR
7926,0.06081344100005026,{'weight'},15,NR
31,0.0002657580000686721,{'weight'},4,NR
1634299,14.645068561000016,{'residuals'},22,ZR
27,0.00029507399995054584,{'weight'},25,ZR
14,0.00018709200003286242,"{'weight', 'residuals'}",10,ZR
8,0.0008062169999902835,{'residuals'},25,NR
276487,2.6678109210000684,"{'weight', 'residuals'}",20,ZR
53,0.0005734490000577352,"{'weight', 'residuals'}",20,ZR
2047,0.013889034999920113,set(),10,ZR
1368,0.011452988000087316,{'residuals'},20,ZR
6,7.410600005641754e-05,{'weight'},4,ZR
342,0.0032190179999815882,"{'weight', 'residuals'}",15,ZR
9,0.00015220399995996559,set(),25,NR
2,2.971699996123789e-05,{'weight'},20,NR
5064803,49.071519606999914,"{'weight', 'residuals'}",25,ZR
8388607,58.475000893000015,set(),22,ZR
133,0.0013308810000580706,"{'weight', 'residuals'}",10,NR
18,0.0003024080000386675,{'residuals'},25,ZR
8388607,57.70074546799992,set(),22,NR
3,5.1274000043122214e-05,{'weight'},20,NR
3,5.923899993831583e-05,"{'weight', 'residuals'}",22,NR
4604417,46.37193691999994,"{'weight', 'residuals'}",25,ZR
133205,0.9132503699997869,set(),20,NR
65535,0.46065900900021006,set(),15,ZR
2047,0.015664006000179143,{'weight'},10,NR
275,0.0018704519998209435,set(),25,ZR
1645,0.01414635800006181,{'weight'},10,ZR
11,0.0002116069999829051,{'residuals'},4,ZR
6,8.682699990458786e-05,"{'weight', 'residuals'}",4,ZR
34344,0.2289230139999745,set(),20,ZR
6015,0.05929268099998808,"{'weight', 'residuals'}",15,NR
170,0.0013570789999448607,{'weight'},15,ZR
2097151,14.750418266999986,set(),20,ZR
64514,0.43752214599999206,set(),15,NR
67108863,483.2067072320001,set(),25,ZR
4,9.143500005848182e-05,{'residuals'},25,NR
12,0.00021423499993034056,{'residuals'},20,NR
1354,0.00948322899989762,{'weight'},20,ZR
9,0.00011270300001342548,"{'weight', 'residuals'}",4,NR
520,0.004387616000030903,{'residuals'},15,NR
101653,0.9811254769999778,{'residuals'},20,NR
8388607,59.52077331199985,set(),22,ZR
4,0.00010471000018696941,{'weight'},20,NR
32,0.0003386180001143657,{'residuals'},10,ZR
1101,0.009780010999975275,{'residuals'},10,NR
15789,0.16205653099996198,"{'weight', 'residuals'}",20,NR
412,0.0034754359999169537,{'residuals'},10,ZR
5,6.855100014035997e-05,{'weight'},15,NR
2345719,16.982749556999806,{'weight'},25,NR
2097151,14.527001445999986,set(),20,NR
710529,4.9483196189999035,set(),20,NR
7238,0.0569402840001203,{'weight'},15,ZR
272,0.0019340979999924457,set(),10,ZR
1769,0.013051627999857374,{'weight'},10,ZR
67108863,475.42641078400004,set(),25,ZR
40,0.0005324179999206535,{'residuals'},10,ZR
4,6.404400005521893e-05,{'weight'},25,NR
62251745,486.5728054539999,{'weight'},25,ZR
14,0.00027519400009623496,set(),25,NR
1538,0.013016283000069961,{'residuals'},10,NR
145,0.0010868550000395771,set(),20,NR
927,0.008226464000017586,{'residuals'},10,ZR
67108863,471.1629735800001,set(),25,NR
2,3.9874000094641815e-05,"{'weight', 'residuals'}",4,NR
338,0.0028581609999491775,{'residuals'},15,ZR
22,0.00033472900008746365,"{'weight', 'residuals'}",20,ZR
13,0.00016902700008358806,{'weight'},22,NR
5067,0.03500869499998771,{'weight'},25,NR
20095,0.1901962229999299,{'residuals'},22,ZR
13,0.0001791330000742164,set(),22,NR
8388607,60.0500241499999,set(),22,NR
13,0.00022517399997923349,{'residuals'},22,NR
25,0.0002520590001040546,"{'weight', 'residuals'}",4,ZR
2,3.0115000072328257e-05,{'residuals'},4,NR
67108863,467.52466785900003,set(),25,NR
8388607,58.56258082299996,set(),22,NR
62215201,495.51459120699997,{'weight'},25,ZR
8,7.549500014647492e-05,{'weight'},4,NR
1225,0.011969655000029888,"{'weight', 'residuals'}",25,NR
2919,0.020417483000073844,set(),20,ZR
483,0.0046200089998365,"{'weight', 'residuals'}",22,NR
60,0.000494656999990184,{'weight'},10,NR
24,0.0002529200000935816,{'weight'},15,ZR
27,0.0003220220000912377,{'weight'},20,ZR
9,0.0001744300000154908,{'weight'},20,NR
4,5.504600017047778e-05,set(),25,NR
307549,3.1025860739998734,"{'weight', 'residuals'}",25,NR
2317,0.020303593000107867,set(),20,NR
181,0.0015541570001005311,{'residuals'},10,NR
58625,0.43947118000005503,{'weight'},15,ZR
10105985,96.13846121100005,"{'weight', 'residuals'}",25,ZR
4377,0.0315165629999683,{'weight'},20,ZR
7,9.324699999524455e-05,set(),10,NR
20997,0.15900923300000613,{'weight'},25,ZR
31,0.00023518600005445478,set(),4,NR
2047,0.013835367999945447,set(),10,ZR
222510,2.122006552999892,"{'weight', 'residuals'}",22,ZR
9,0.00010763000000224565,set(),20,NR
469,0.004482920999862472,"{'weight', 'residuals'}",10,NR
31,0.00024545399992348393,set(),4,NR
9626419,86.81639705099997,{'residuals'},25,ZR
12794,0.1133337069998106,{'residuals'},25,ZR
292,0.002154989000018759,set(),15,ZR
12,0.00017665500013208657,{'weight'},15,ZR
12,0.00013733800005866215,set(),4,ZR
1769865,13.40325618199995,{'weight'},20,NR
14,0.0001886009999907401,{'weight'},22,NR
